"timestamp";"date";"task_id";"task_name";"placement_order";"time_placed"
"2025-11-06T22:23:41.965504";"2025-11-06";"R018";"Pause café";"1";"23:00"
"2025-11-06T22:23:41.965504";"2025-11-06";"REC025";"Brossage dentaire";"3";"23:40"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC002";"Nettoyer caisse chat";"7";"06:55"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC029";"Pesée santé";"9";"07:25"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC037";"Brossage Gigi";"12";"08:00"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC038";"Brossage Coco";"14";"08:30"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC021";"Douche matinale";"19";"14:25"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC024";"Épilation visage";"21";"15:05"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC080";"Brosse WC neuve";"25";"18:45"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC041";"Tri vêtements";"27";"19:15"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC042";"Tri vrac";"30";"19:50"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC032";"Étirement cuisses";"32";"20:20"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC033";"Pompes murales";"35";"20:55"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC034";"Rotation épaules";"37";"21:25"
"2025-11-06T22:23:41.965504";"2025-11-07";"R018";"Pause café";"40";"22:00"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC025";"Brossage dentaire";"42";"22:40"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC002";"Nettoyer caisse chat";"45";"23:15"
"2025-11-06T22:23:41.965504";"2025-11-07";"REC029";"Pesée santé";"47";"23:45"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC037";"Brossage Gigi";"50";"00:20"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC038";"Brossage Coco";"52";"00:50"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC021";"Douche matinale";"55";"01:25"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC024";"Épilation visage";"57";"02:05"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC080";"Brosse WC neuve";"60";"02:40"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC041";"Tri vêtements";"62";"03:10"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC042";"Tri vrac";"65";"03:45"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC032";"Étirement cuisses";"67";"04:15"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC033";"Pompes murales";"70";"04:50"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC034";"Rotation épaules";"72";"05:20"
"2025-11-06T22:23:41.965504";"2025-11-08";"R018";"Pause café";"75";"05:55"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC025";"Brossage dentaire";"77";"06:35"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC002";"Nettoyer caisse chat";"80";"07:10"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC029";"Pesée santé";"82";"07:40"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC037";"Brossage Gigi";"85";"08:15"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC038";"Brossage Coco";"87";"08:45"
"2025-11-06T22:23:41.965504";"2025-11-08";"REC021";"Douche matinale";"90";"09:20"
