ID;NAME;DESCRIPTION;CATEGORY;SUB_CATEGORY;DURATION_MIN;REMAINING_MIN;PRIORITY;TAGS;KEYWORDS;DEPENDENCIES;NOTES;DEADLINE;FIXED_START;PLANNED_START;STATUS
99;Achat produits hydro;Shop jardinage - Acheter: Canna Coco A 5L (75 CHF) + Canna Coco B 5L (75 CHF) + Cannazym 5L (130 CHF) + PK 13/14 1L (28 CHF) = Total ~308 CHF;Jardinage;Enracinement;90;90;1;ponctuel,achat;produits,nutrition;;URGENT - nécessaire pour changement du 28.10;27.10.25;;27.10.25 14:30;available
100;Routine jardin 27.10;HYGROMÉTRIE: 60-70% (phase enracinement) - 1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Enracinement;7;7;2;quotidien,hydro;jardin,observation;;;;;27.10.25 08:00;available
101;Routine jardin 28.10;1. Observation végétaux (5 min) - 2. Changement solution 90L: vidanger + 180ml A + 180ml B + 225ml Cannazym pH 5.8 EC 2.0-2.2 (35 min) - 3. Nettoyage goutteurs (inclus) - 4. Ajuster lampes 550W à 55-60cm (5 min);Jardinage;Enracinement;45;45;2;ponctuel,hydro;reservoir,nutrition,lampes;99;Matinée week-end;28.10.25;;28.10.25 07:00;available
102;Routine jardin 29.10;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Enracinement;45;45;2;quotidien,hydro;jardin,observation,goutteurs;;;;;29.10.25 11:20;available
103;Routine jardin 30.10;1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Enracinement;7;7;2;quotidien,hydro;jardin,observation;;;;;30.10.25 08:00;available
104;Routine jardin 31.10;1. Observation + mesure hauteur végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. TAILLE #1: Topping 4ème noeud 32 boutures outil stérilisé (30 min);Jardinage;Croissance;40;40;2;ponctuel,taille;jardin,formation,structure;103;Faire le matin après arrosage - Si PARA décale à 19:00;31.10.25;;31.10.25 09:00;available
105;Routine jardin 01.11;1. Observation récupération taille (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Croissance;7;7;2;quotidien,hydro;jardin,observation;;;;;01.11.25 08:00;available
106;Routine jardin 02.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;02.11.25 08:00;available
107;Routine jardin 03.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Croissance;7;7;2;quotidien,hydro;jardin,observation;;;;;03.11.25 08:00;available
108;Routine jardin 04.11;1. Observation végétaux (5 min) - 2. Changement solution 90L: vidanger + 200ml A + 200ml B + 225ml Cannazym pH 5.8 EC 2.2-2.4 (35 min) - 3. Nettoyage système (inclus) - 4. Inspection goutteurs (3 min);Jardinage;Croissance;43;43;2;ponctuel,hydro;reservoir,nutrition,goutteurs;;Matinée week-end;04.11.25;;04.11.25 07:00;available
109;Routine jardin 05.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Croissance;7;7;2;quotidien,hydro;jardin,observation;;;;;05.11.25 08:00;available
110;Routine jardin 06.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;06.11.25 08:00;available
111;Routine jardin 07.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. TAILLE #2: Sélection 2-3 branches principales + élimination branches basses 32 plantes (75 min) - Objectif 64-96 branches apex total;Jardinage;Croissance;82;82;2;ponctuel,taille;jardin,formation,structure;110;Matinée week-end;07.11.25;;07.11.25 09:00;available
112;Routine jardin 08.11;1. Observation récupération taille (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;08.11.25 08:00;available
113;Routine jardin 09.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Croissance;7;7;2;quotidien,hydro;jardin,observation;;;;;09.11.25 08:00;available
114;Routine jardin 10.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;10.11.25 08:00;available
115;Routine jardin 11.11;1. Observation végétaux (5 min) - 2. Changement solution 90L: vidanger + 220ml A + 220ml B + 225ml Cannazym pH 5.8 EC 2.4-2.6 (35 min) - 3. Nettoyage système (inclus);Jardinage;Croissance;40;40;2;ponctuel,hydro;reservoir,nutrition;;Matinée week-end;11.11.25;;11.11.25 07:00;available
116;Routine jardin 12.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;12.11.25 08:00;available
117;Routine jardin 13.11;1. Observation végétaux (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Croissance;7;7;2;quotidien,hydro;jardin,observation;;;;;13.11.25 08:00;available
118;Routine jardin 14.11;1. Observation + mesure hauteur végétaux (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - DÉCISION: Si 30-35cm passage floraison demain;Jardinage;Croissance;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;DÉCISION passage 12/12;;;14.11.25 08:00;available
119;PASSAGE FLORAISON 15.11;HYGROMÉTRIE: réduire à 50-60% (début floraison) - 1. CRITIQUE: Passage cycle 12/12 noter heure exacte + arrêt brumisation définitif (5 min) - 2. Changement solution 90L: vidanger + 240ml A + 240ml B + 225ml Cannazym pH 5.8 EC 2.6 (35 min) + nettoyage - 3. Ajuster lampes 600W à 40-45cm rapproché (5 min) - 4. Observation début stretch (5 min);Jardinage;Floraison;50;50;1;critique,floraison;cycle,reservoir,lampes;118;CRITICAL noter heure passage 12/12;15.11.25;;15.11.25 06:45;available
120;Routine jardin 16.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;16.11.25 08:00;available
121;Routine jardin 17.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;17.11.25 08:00;available
122;Routine jardin 18.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: Remplissage 90L eau + 240ml A + 240ml B + 225ml Cannazym pH 5.8 EC 2.6 (12 min);Jardinage;Floraison;22;22;2;quotidien,hydro;jardin,reservoir;;;;;18.11.25 08:00;available
123;Routine jardin 19.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;19.11.25 08:00;available
124;Routine jardin 20.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: TAILLE #3 Lollipopping enlever <20-25cm + défeuillage 32 plantes - garder 2-3 branches apex (65 min);Jardinage;Floraison;75;75;2;ponctuel,taille;jardin,structure,aeration;123;Soirée après PARA;20.11.25;;20.11.25 08:00;available
125;Routine jardin 21.11 FLO;1. Observation récupération taille (5 min) - 2. Mesure EC/pH (2 min) - 3. SOIR: Remplissage 90L eau + 250ml A + 250ml B + 225ml Cannazym pH 5.8 EC 2.6-2.8 (12 min);Jardinage;Floraison;19;19;2;quotidien,hydro;jardin,reservoir;;;;;21.11.25 08:00;available
126;Routine jardin 22.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;22.11.25 08:00;available
127;Routine jardin 23.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;23.11.25 08:00;available
128;Routine jardin 24.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. Remplissage 90L eau + 250ml A + 250ml B + 225ml Cannazym pH 5.8 EC 2.6-2.8 (12 min);Jardinage;Floraison;22;22;2;quotidien,hydro;jardin,reservoir,goutteurs;;Matinée week-end;24.11.25;;24.11.25 07:00;available
129;Routine jardin 25.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;25.11.25 08:00;available
130;Routine jardin 26.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;26.11.25 08:00;available
131;Routine jardin 27.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. SOIR: Remplissage 90L eau + 260ml A + 260ml B + 225ml Cannazym pH 5.8 EC 2.8 (12 min);Jardinage;Floraison;19;19;2;quotidien,hydro;jardin,reservoir;;;;;27.11.25 08:00;available
132;Routine jardin 28.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;28.11.25 08:00;available
133;Routine jardin 29.11 FLO;1. Observation stretch ralentissement (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;29.11.25 08:00;available
134;Routine jardin 30.11 FLO;1. Observation stretch (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. TAILLE #4: Lollipopping final enlever dernier tiers + défeuillage grandes feuilles - canopée plate 2-3 colas/plante (70 min) - 5. Remplissage 90L pendant repos taille (12 min);Jardinage;Floraison;92;92;2;ponctuel,taille;jardin,structure,apex;133;Matinée week-end;30.11.25;;30.11.25 09:00;available
135;Routine jardin 01.12 FLO;1. Observation récupération taille (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;01.12.25 08:00;available
136;Routine jardin 02.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;02.12.25 08:00;available
137;Routine jardin 03.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;03.12.25 08:00;available
138;Routine jardin 04.12 FLO;HYGROMÉTRIE: réduire à 40-50% (floraison établie prévention moisissures) - 1. Observation floraison établie (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym + 135ml PK 13/14 pH 5.8 EC 2.8 (15 min) - 5. Inspection parasites détaillée dessous feuilles/tiges (10 min);Jardinage;Floraison;35;35;2;quotidien,hydro;jardin,reservoir,parasites;;Début PK semaine 3;04.12.25;;04.12.25 08:00;available
139;Routine jardin 05.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;05.12.25 08:00;available
140;Routine jardin 06.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;06.12.25 08:00;available
141;Routine jardin 07.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym + 135ml PK 13/14 pH 5.8 EC 2.8 (15 min);Jardinage;Floraison;22;22;2;quotidien,hydro;jardin,reservoir;;PK semaine 3 - Matinée week-end;07.12.25;;07.12.25 09:00;available
142;Routine jardin 08.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;08.12.25 08:00;available
143;Routine jardin 09.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;09.12.25 08:00;available
144;Routine jardin 10.12 FLO;1. Observation gonflement (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym + 135ml PK 13/14 pH 5.8 EC 2.8 (15 min);Jardinage;Floraison;25;25;2;quotidien,hydro;jardin,reservoir,goutteurs;;PK semaine 4;10.12.25;;10.12.25 08:00;available
145;Routine jardin 11.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. SOIR: Inspection parasites hebdo dessous feuilles/tiges (10 min);Jardinage;Floraison;17;17;2;quotidien,hydro;jardin,parasites;;;;;11.12.25 08:00;available
146;Routine jardin 12.12 FLO;1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;12.12.25 08:00;available
147;Routine jardin 13.12 FLO;HYGROMÉTRIE: réduire à 40-45% (fin floraison durcissement) - 1. Observation floraison (5 min) - 2. Mesure EC/pH (2 min) - 3. DÉBUT inspection trichomes microscope x60 (3 min) - 4. Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym pH 5.8 EC 2.6-2.8 (12 min) - ARRÊT PK 13/14;Jardinage;Floraison;22;22;2;quotidien,hydro;jardin,reservoir,trichomes;;Matinée week-end;13.12.25;;13.12.25 09:00;available
148;Routine jardin 14.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;14.12.25 08:00;available
149;Routine jardin 15.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;15.12.25 08:00;available
150;Routine jardin 16.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym pH 5.8 EC 2.6-2.8 (12 min);Jardinage;Floraison;22;22;2;quotidien,hydro;jardin,reservoir,goutteurs;;;;;16.12.25 08:00;available
151;Routine jardin 17.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;17.12.25 08:00;available
152;Routine jardin 18.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. SOIR: Inspection parasites hebdo (10 min);Jardinage;Floraison;20;20;2;quotidien,hydro;jardin,goutteurs,parasites;;;;;18.12.25 08:00;available
