"ID";"NAME";"DESCRIPTION";"CATEGORY";"SUB_CATEGORY";"DURATION_MIN";"RECURRENCE_TYPE";"RECURRENCE_INTERVAL";"LAST_DONE_DATE";"NEXT_DUE_DATE";"PRIORITY";"STATUS";"IS_ACTIVE"
"REC001";"Arroser les plantes";"Arroser toutes les plantes d'intérieur";"Maison";"Jardinage";"5";"weekly";"7";"";"";"2";"available";"1"
"REC002";"Nettoyer caisse chat";"Nettoyer et changer la litière";"Animaux";"Entretien";"5";"daily";"1";"";"";"1";"available";"1"
"REC003";"Changer les draps";"Changer les draps du lit";"Maison";"Linge";"5";"weekly";"7";"";"";"2";"available";"1"
"REC004";"Aspirer salon";"Passer l'aspirateur dans le salon";"Maison";"Ménage";"5";"weekly";"7";"";"";"2";"available";"1"
"REC005";"Sortir les poubelles";"Sortir les poubelles sur le trottoir";"Maison";"Déchets";"5";"weekly";"7";"";"";"1";"available";"1"
"REC006";"Nettoyer la cuisine";"Nettoyer plan de travail et évier";"Maison";"Ménage";"5";"daily";"1";"";"";"2";"available";"1"
"REC007";"Nettoyer lavabo";"Nettoyer lavabo et miroir";"Maison";"Ménage";"5";"weekly";"7";"";"";"2";"available";"1"
"REC008";"Faire les courses";"Courses alimentaires hebdomadaires";"Maison";"Provisions";"60";"weekly";"7";"";"";"2";"available";"1"
"REC010";"Réviser factures";"Vérifier et payer les factures";"Finance";"Administration";"5";"monthly";"30";"";"";"2";"available";"1"
"REC011";"Nettoyer frigo";"Nettoyer étagères du frigo";"Maison";"Ménage";"5";"monthly";"30";"";"";"3";"available";"1"
"REC012";"Trier le courrier";"Trier et classer le courrier";"Maison";"Administration";"5";"weekly";"7";"";"";"2";"available";"1"
"REC014";"Nettoyer fenêtre salon";"Nettoyer vitre principale salon";"Maison";"Ménage";"5";"monthly";"30";"";"";"3";"available";"1"
"REC015";"Laver gamelles animaux";"Laver et désinfecter gamelles";"Animaux";"Entretien";"5";"daily";"1";"";"";"1";"available";"1"
"REC016";"Aspirer canapé";"Aspirer le canapé";"Maison";"Ménage";"5";"weekly";"7";"";"";"3";"available";"1"
"REC017";"Nettoyer micro-ondes";"Nettoyer intérieur micro-ondes";"Maison";"Ménage";"5";"weekly";"7";"";"";"3";"available";"1"
"REC018";"Descendre recyclage";"Descendre cartons et bouteilles";"Maison";"Déchets";"5";"weekly";"7";"";"";"2";"available";"1"
"REC019";"Vider poubelle bureau";"Vider corbeille du bureau";"Maison";"Déchets";"5";"weekly";"7";"";"";"3";"available";"1"
"REC020";"Nettoyer clavier";"Nettoyer clavier d'ordinateur";"Maison";"Informatique";"5";"monthly";"30";"";"";"3";"available";"1"
"REC021";"Douche matinale";"Se laver complètement sous la douche";"Hygiène";"Corporel";"15";"daily";"1";"";"";"1";"available";"1"
"REC022";"Manucure";"Couper et limer les ongles des mains";"Entretien";"Mains";"5";"weekly";"14";"";"";"2";"available";"1"
"REC023";"Révision Anki";"Réviser les cartes de mémorisation Anki";"Mémorisation";"Apprentissage";"5";"daily";"1";"";"";"2";"available";"1"
"REC024";"Épilation visage";"Épiler les joues et oreilles";"Hygiène";"Épilation";"5";"weekly";"7";"";"";"1";"available";"1"
"REC025";"Brossage dentaire";"Se brosser les dents";"Hygiène";"Dentaire";"5";"daily";"1";"";"";"1";"available";"1"
"REC026";"Jeu avec Gigi";"Jouer et interagir avec Gigi";"Animaux";"Interaction";"5";"daily";"1";"";"";"2";"available";"1"
"REC027";"Jeu avec Coco";"Jouer et interagir avec Coco";"Animaux";"Interaction";"5";"daily";"1";"";"";"2";"available";"1"
"REC028";"Pédicure ongles";"Couper et soigner les ongles de pieds";"Hygiène";"Pieds";"5";"monthly";"30";"";"";"4";"available";"1"
"REC029";"Pesée santé";"Se peser pour suivi de santé";"Suivi";"Santé";"5";"weekly";"7";"";"";"2";"available";"1"
"REC030";"Correction posture";"Exercices pour améliorer la posture";"Exercice";"Posture";"5";"daily";"1";"";"";"2";"available";"1"
"REC031";"Étirement abducteurs";"Étirer les muscles abducteurs";"Exercice";"Étirements";"5";"daily";"1";"";"";"2";"available";"1"
"REC032";"Étirement cuisses";"Étirer les muscles des cuisses";"Exercice";"Étirements";"5";"daily";"1";"";"";"2";"available";"1"
"REC033";"Pompes murales";"Faire des pompes contre le mur";"Exercice";"Renforcement";"5";"daily";"1";"";"";"2";"available";"1"
"REC034";"Rotation épaules";"Mouvements circulaires pour assouplir les épaules";"Exercice";"Mobilité";"5";"daily";"1";"";"";"2";"available";"1"
"REC035";"Pédicure complète";"Soin complet des pieds";"Hygiène";"Pieds";"5";"monthly";"30";"";"";"2";"available";"1"
"REC036";"Coiffure et barbe";"Tailler la barbe et couper les cheveux";"Hygiène";"Coiffure";"5";"weekly";"14";"";"";"2";"available";"1"
"REC037";"Brossage Gigi";"Brosser le pelage de Gigi";"Entretien";"Brossage";"5";"weekly";"7";"";"";"1";"available";"1"
"REC038";"Brossage Coco";"Brosser le pelage de Coco";"Entretien";"Brossage";"5";"weekly";"7";"";"";"1";"available";"1"
"REC039";"Nourrir Gigi";"Remplir la gamelle de Gigi";"Entretien";"Nourriture";"5";"daily";"1";"";"";"1";"available";"1"
"REC040";"Nourrir Coco";"Remplir la gamelle de Coco";"Entretien";"Nourriture";"5";"daily";"1";"";"";"1";"available";"1"
"REC041";"Tri vêtements";"Replier vêtements propres";"Rangement";"Séjour/Atelier";"5";"weekly";"14";"";"";"1";"available";"1"
"REC042";"Tri vrac";"Ramasser vrac au sol: jeter, ranger";"Rangement";"Séjour/Atelier";"5";"weekly";"7";"";"";"1";"available";"1"
"REC043";"Dégager canapé";"Ranger vrac du canapé";"Rangement";"Séjour";"5";"weekly";"7";"";"";"1";"available";"1"
"REC044";"Aspirer salon";"Aspirer le salon";"Nettoyage";"Séjour";"5";"weekly";"14";"";"";"1";"available";"1"
"REC045";"Vitres porte-fenêtre";"Nettoyer vitres porte-fenêtre";"Nettoyage";"Séjour";"5";"weekly";"7";"";"";"2";"available";"1"
"REC046";"Dépoussiérage hauteur";"Dépoussiérer miroir et radiateur";"Nettoyage";"Séjour";"5";"weekly";"14";"";"";"2";"available";"1"
"REC047";"Rangement aspirateur";"Enrouler câble et ranger aspirateur";"Rangement";"Séjour";"5";"weekly";"7";"";"";"2";"available";"1"
"REC048";"Installation recyclage";"Installer bacs recyclage";"Rangement";"Séjour";"5";"weekly";"7";"";"";"1";"available";"1"
