CATEGORY;SUB_CATEGORY
Développement;Backend
Développement;Frontend
Développement;Mobile
Développement;DevOps
Développement;Code Review
Développement;Tests
Maison;Jardin
Maison;Ménage
Maison;Cuisine
Maison;Bricolage
Maison;Courses
Santé;Sport
Santé;Méditation
Santé;Repos
Santé;Nutrition
Travail;Réunions
Travail;Emails
Travail;Planification
Travail;Documentation
Personnel;Lecture
Personnel;Loisirs
Personnel;Famille
Personnel;Amis
Respiration;Pause
Respiration;Contemplation
Respiration;Exercice
Admin;Finances
Admin;Papiers
Admin;Démarches
Développement;Planification
