"ID";"NAME";"DATE";"HEURE_DEBUT";"HEURE_FIN";"DURATION_MIN";"KIND";"ORIGINAL_TIME"
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"06:30";"06:55";"25";"pomodoro";""
"REC027";"Jeu avec Coco";"2025-11-01";"06:55";"07:00";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"07:00";"07:25";"25";"pomodoro";""
"default_pause";"Pause";"2025-11-01";"";"";"5";"pause";""
"REC026";"Jeu avec Gigi";"2025-11-01";"07:25";"07:30";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"07:30";"07:55";"25";"pomodoro";""
"REC034";"Rotation épaules";"2025-11-01";"07:55";"08:00";"5";"recurrent";""
"105";"Routine jardin 01.11";"2025-11-01";"08:00";"08:25";"25";"planned";"08:00"
"REC036";"Coiffure et barbe";"2025-11-01";"08:25";"08:30";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"08:30";"08:55";"25";"pomodoro";""
"REC037";"Brossage Gigi";"2025-11-01";"08:55";"09:00";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"09:00";"09:25";"25";"pomodoro";""
"REC038";"Brossage Coco";"2025-11-01";"09:25";"09:30";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"09:30";"09:55";"25";"pomodoro";""
"REC041";"Tri vêtements";"2025-11-01";"09:55";"10:00";"5";"recurrent";""
"1";"Installer machine virtuelle pre-prod";"2025-11-01";"10:00";"10:25";"25";"pomodoro";""
"REC042";"Tri vrac";"2025-11-01";"10:25";"10:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"10:30";"10:55";"25";"pomodoro";""
"REC043";"Dégager canapé";"2025-11-01";"10:55";"11:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"11:00";"11:25";"25";"pomodoro";""
"REC056";"Égouttoir vaisselle";"2025-11-01";"11:25";"11:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"11:30";"11:55";"25";"pomodoro";""
"REC059";"Nettoyage plaque";"2025-11-01";"11:55";"12:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"12:00";"12:25";"25";"pomodoro";""
"REC061";"Sol cuisine";"2025-11-01";"12:25";"12:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"12:30";"12:55";"25";"pomodoro";""
"REC062";"Dessus frigo";"2025-11-01";"12:55";"13:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"13:00";"13:25";"25";"pomodoro";""
"REC064";"Tri épices/boîtes";"2025-11-01";"13:25";"13:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"13:30";"13:55";"25";"pomodoro";""
"REC069";"Tri lavabo";"2025-11-01";"13:55";"14:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"14:00";"14:25";"25";"pomodoro";""
"REC070";"Miroir salle de bain";"2025-11-01";"14:25";"14:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"14:30";"14:55";"25";"pomodoro";""
"REC076";"Sol salle de bain";"2025-11-01";"14:55";"15:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"15:00";"15:25";"25";"pomodoro";""
"REC025";"Brossage dentaire";"2025-11-01";"15:25";"15:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"15:30";"15:55";"25";"pomodoro";""
"REC001";"Arroser les plantes";"2025-11-01";"15:55";"16:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"16:00";"16:25";"25";"pomodoro";""
"REC002";"Nettoyer caisse chat";"2025-11-01";"16:25";"16:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"16:30";"16:55";"25";"pomodoro";""
"REC027";"Jeu avec Coco";"2025-11-01";"16:55";"17:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"17:00";"17:25";"25";"pomodoro";""
"REC026";"Jeu avec Gigi";"2025-11-01";"17:25";"17:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"17:30";"17:55";"25";"pomodoro";""
"REC034";"Rotation épaules";"2025-11-01";"17:55";"18:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"18:00";"18:25";"25";"pomodoro";""
"REC036";"Coiffure et barbe";"2025-11-01";"18:25";"18:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"18:30";"18:55";"25";"pomodoro";""
"REC037";"Brossage Gigi";"2025-11-01";"18:55";"19:00";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"19:00";"19:25";"25";"pomodoro";""
"REC038";"Brossage Coco";"2025-11-01";"19:25";"19:30";"5";"recurrent";""
"3";"debugger gitfocus web";"2025-11-01";"19:30";"19:55";"25";"pomodoro";""
"REC041";"Tri vêtements";"2025-11-01";"19:55";"20:00";"5";"recurrent";""
