"TASK_ID";"TASK_NAME";"DATE";"PLANNED_TIME";"DAY_OF_WEEK";"WEEK_TYPE";"MOOD";"ENERGY";"WEATHER";"SEASON";"EXPORT_TIMESTAMP"
"REC001";"Arroser les plantes";"2025-10-30";"07:10";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC002";"Nettoyer caisse chat";"2025-10-30";"07:45";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC003";"Changer les draps";"2025-10-30";"08:15";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC004";"Aspirer salon";"2025-10-30";"08:45";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC005";"Sortir les poubelles";"2025-10-30";"09:15";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC006";"Nettoyer la cuisine";"2025-10-30";"09:45";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC007";"Nettoyer lavabo";"2025-10-30";"10:15";"3";"";"";"";"";"";"2025-10-30T07:43:57.729450"
"REC001";"Arroser les plantes";"2025-10-30";"20:25";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC002";"Nettoyer caisse chat";"2025-10-30";"20:55";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC003";"Changer les draps";"2025-10-30";"21:25";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC004";"Aspirer salon";"2025-10-30";"21:55";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC005";"Sortir les poubelles";"2025-10-30";"22:25";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC006";"Nettoyer la cuisine";"2025-10-30";"22:55";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC007";"Nettoyer lavabo";"2025-10-30";"23:25";"3";"";"";"";"";"";"2025-10-30T19:59:36.995290"
"REC001";"Arroser les plantes";"2025-10-31";"18:40";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC002";"Nettoyer caisse chat";"2025-10-31";"19:10";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC003";"Changer les draps";"2025-10-31";"19:40";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC004";"Aspirer salon";"2025-10-31";"20:10";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC005";"Sortir les poubelles";"2025-10-31";"20:40";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC006";"Nettoyer la cuisine";"2025-10-31";"21:10";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC007";"Nettoyer lavabo";"2025-10-31";"21:40";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC008";"Faire les courses";"2025-10-31";"22:15";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC010";"Réviser factures";"2025-10-31";"23:10";"4";"";"";"";"";"";"2025-10-31T17:15:06.820896"
"REC001";"Arroser les plantes";"2025-10-31";"18:40";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC002";"Nettoyer caisse chat";"2025-10-31";"19:10";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC003";"Changer les draps";"2025-10-31";"19:40";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC004";"Aspirer salon";"2025-10-31";"20:10";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC005";"Sortir les poubelles";"2025-10-31";"20:40";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC006";"Nettoyer la cuisine";"2025-10-31";"21:10";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC007";"Nettoyer lavabo";"2025-10-31";"21:40";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC008";"Faire les courses";"2025-10-31";"22:15";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC010";"Réviser factures";"2025-10-31";"23:10";"4";"";"";"";"";"";"2025-10-31T17:15:14.845967"
"REC002";"Nettoyer caisse chat";"2025-11-01";"06:25";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC003";"Changer les draps";"2025-11-01";"06:55";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC006";"Nettoyer la cuisine";"2025-11-01";"07:25";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC007";"Nettoyer lavabo";"2025-11-01";"07:55";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
